20240318	19:28:31	9d98c458-9d8d-4e7b-a984-9b5565ae619a	/new-page	GET
20240318	19:28:31	ebc3fd67-059a-43cb-b184-01ab74007bef	/css/style.css	GET
20240318	19:28:31	74f6e1bc-3819-4d18-9138-a1160a5ee354	/img/img1.jpg	GET
20240318	19:28:31	11c5f1ad-110d-424d-ae1b-ba5facbbfb04	/favicon.ico	GET
20240318	19:29:24	c43c8e20-5b2d-4459-a98c-5f343369a405	/new-page	GET
20240318	19:29:24	a18fb6c4-4c94-4053-b0c1-198afeceb5ee	/css/style.css	GET
20240318	19:29:24	dc1909e9-0812-4880-ac76-3f5dee502a5f	/img/img1.jpg	GET
20240318	19:29:56	032a1162-ee79-45c3-909e-af07955eae52	/new-page	GET
20240318	19:31:37	d739ad4b-ec04-4aa3-ac4f-43b7e4fd42f6	/views/subdir	GET
20240318	19:31:37	d7f346a2-7920-4822-822e-1b1d4efcc0af	/css/style.css	GET
20240318	19:31:41	4aa3c0b8-577a-44c8-8d26-606a0b873f20	/views	GET
20240318	19:31:41	4780ac8e-4a4d-4ef4-aff4-01775bce49ff	/css/style.css	GET
20240318	19:31:54	0b83644c-e555-4e6b-a481-bc39166b7ec6	/subdir	GET
20240318	19:31:54	09ea1a35-910d-49ac-b5d6-24193c18db57	/css/style.css	GET
20240318	19:32:45	b49d6311-2801-418e-b1f9-a8d9a021499b	/	GET
20240318	19:32:45	1a439ab4-7422-402c-b069-a3d4f6d0ac23	/css/style.css	GET
20240318	19:33:00	ec9979f7-3d06-43db-94f2-97f318bc245f	/subdir	GET
20240318	19:33:00	9eec2a20-c926-48d1-a335-341a53f50073	/css/style.css	GET
20240318	19:33:03	89e9bd43-3c8a-4979-b361-806798f342c7	/views/subdir	GET
20240318	19:33:03	ff55cf9e-6f03-43f5-9ab3-9d90e92e3576	/css/style.css	GET
20240320	20:25:58	ca291c1d-c5fb-4d26-bc46-f51072e23fe2	GET	undefined	/
20240320	20:25:58	0443b94f-978c-49ce-882c-95fb23e726d5	GET	undefined	/css/style.css
20240320	20:28:36	983d8163-ccfc-4aa5-a6da-51545254439d	GET	undefined	/
20240320	20:28:36	a10e325e-7c00-4eda-9871-23e4acf9fed9	GET	undefined	/css/style.css
20240320	20:29:41	2d848f9f-8536-46a4-8ec9-587d3c58679f	OPTIONS	undefined	/
20240320	20:29:41	29a9f832-cbbe-4da4-92ae-f2c8b522c523	GET	undefined	/
20240320	20:30:23	837439db-f934-434c-af8b-af56756968dd	OPTIONS	undefined	/
20240320	20:30:23	ffbc9c91-4225-4b17-8e2a-2c867899385f	GET	undefined	/
20240320	20:32:14	cd38582f-6df6-46ef-af8d-bc3eaf9db9c7	OPTIONS	undefined	/
20240320	20:32:14	994e72e1-6b37-464a-b7c8-0fe8f166548c	GET	undefined	/
20240320	20:33:00	7e3a36fa-1ab3-4f4d-81de-8a7a3b9740f4	OPTIONS	undefined	/
20240320	20:33:00	d461a7b4-498d-459c-b77c-37fbd199b3ea	GET	undefined	/
20240320	20:38:13	2ab12746-7f83-4cba-b8c8-260c319eea9b	OPTIONS	undefined	/
20240320	20:38:13	04dc1bad-6e36-4728-9a83-13cb4f683c6c	GET	undefined	/
20240320	20:38:26	c711a8cc-4b07-4cd3-9e25-aa4bbb83eca1	OPTIONS	undefined	/
20240320	20:38:26	b89bcd73-d2ef-4613-b59d-1b0d5dc49bef	GET	undefined	/
20240320	20:38:35	de583442-83ee-458c-a26a-26088ea7c79c	OPTIONS	undefined	/
20240320	20:38:35	d9c07819-6b6b-43a6-a4dd-2e734d21c1cd	GET	undefined	/
20240320	20:38:58	f985aafd-c644-41e2-8dfe-3acdbbaa3678	OPTIONS	undefined	/
20240320	20:38:58	2f70af16-6254-464d-b2d4-03867f942e10	GET	undefined	/
20240320	20:41:12	c508aab8-186b-42de-9de0-dbd3ee54e2a6	OPTIONS	undefined	/
20240320	20:41:12	522bd190-74a2-48f5-9f93-5daa2e954847	GET	undefined	/
20240320	20:41:47	427683ec-e975-4cfc-9090-7c3f42c9c3cb	OPTIONS	undefined	/
20240320	20:41:47	ee186927-a904-49ce-bada-873ecfef3745	GET	undefined	/
20240320	20:42:01	53fbece1-bc3e-471c-a02a-f831eb9dff5a	OPTIONS	undefined	/
20240320	20:42:01	1f20f702-4e14-462f-b106-2f7f48c8bf37	GET	undefined	/
20240320	20:47:12	ea24ba4b-5843-4cde-87e1-4341feb2502d	GET	undefined	/
20240320	20:47:12	22b67819-cf4e-45dd-8542-46893529f7fd	GET	undefined	/css/style.css
20240320	20:47:13	91336b7e-d6ed-44a2-bd47-ab25cc33c10b	GET	undefined	/
20240320	20:47:13	1246fe4c-00bc-4bfe-b5a6-a92a1473dbc3	GET	undefined	/css/style.css
20240320	20:47:13	0d7ab47a-3b9e-427d-98c4-a7ff7b01a1f2	GET	undefined	/
20240320	20:47:13	d48e024b-d5e7-41ed-a88f-4a78fe52333b	GET	undefined	/css/style.css
20240320	20:47:27	8c68c845-0c19-447a-839d-441dea5c1eec	GET	undefined	/
20240320	20:47:28	9c5e367d-3de1-4af3-b837-2ba7fee6b4db	GET	undefined	/css/style.css
20240320	20:48:12	5fb6ada1-a0f3-4318-9ce1-4875d952756c	GET	undefined	/
20240320	20:48:12	72315f72-4692-40f2-b24c-8516bbf1454d	GET	undefined	/css/style.css
20240320	20:48:29	57158c48-d818-4e70-8683-c340f316e783	GET	undefined	/css/style.css
20240320	20:48:33	5a4b5527-7d19-437c-8ae7-7f93a081fc60	GET	undefined	/
20240320	20:48:33	4e9cf24a-c741-43fd-bfd5-9a11abd14dd5	GET	undefined	/css/style.css
20240320	20:48:37	deb6f16f-6af6-4077-aecb-fe1220f7d8f5	GET	undefined	/
20240320	20:48:37	6a8cc261-cd18-4323-8978-3751ad1360d5	GET	undefined	/css/style.css
20240320	20:48:51	8d7248bb-4389-46d2-a921-ce367ede7945	GET	undefined	/
20240320	20:49:06	6c080b1a-4ee0-469a-a97c-9301a8ada460	GET	undefined	/
20240320	20:49:06	3014d3ba-31cc-4533-a5a7-c11f8215f1c6	GET	undefined	/css/style.css
20240320	20:49:08	9b04e7d2-89df-4514-b219-d5bee5b14a65	GET	undefined	/
20240320	20:49:08	b0f1666d-db4c-4861-b22b-cac764d60f24	GET	undefined	/css/style.css
20240320	20:49:11	24e0cd4c-0bc4-4dfa-b80b-0defba07487e	OPTIONS	undefined	/
20240320	20:49:11	3f38145f-45d4-4c79-9ffc-6cb2efa807fc	GET	undefined	/
20240320	20:49:28	5988e58d-b697-4f01-925e-7f6a429840d5	GET	undefined	/chrome.css.map
20240320	20:49:29	19f14abb-c4cd-4cbb-8c9a-417141a43a68	GET	undefined	/
20240320	20:49:40	52313b75-c01a-46ba-ad2e-3356aa62bd86	GET	undefined	/
20240320	20:50:22	39e31ac7-86f5-4163-9e11-7002af519383	GET	undefined	/
20240320	20:50:22	bdddb2dc-e119-4889-a139-0f6ee2243692	GET	undefined	/css/style.css
20240320	20:56:58	f9edb96f-32dd-4d60-bf2e-9c7c70cc46eb	GET	undefined	/
20240320	20:58:03	a86ab04f-3fc7-4966-977b-4782366e38f8	GET	undefined	/
20240320	20:58:03	bb974a70-242e-4a29-a391-2dbfeb005b09	GET	undefined	/css/style.css
20240320	20:59:17	de57b062-e248-47f0-a1aa-6cfa040ca7ec	GET	undefined	/dudu
20240320	20:59:17	b65ff87f-914d-48b1-af78-bff09299634b	GET	undefined	/css/style.css
20240320	21:02:00	93a74d3b-6e40-4212-8e9d-ff175ef611f0	GET	undefined	/dudu
20240320	21:02:00	3474b766-3b2e-48e7-a0ec-85a47e8ff4d7	GET	undefined	/css/style.css
20240320	21:02:05	f7100915-b123-45d6-88ad-f445d87bf5de	GET	undefined	/dudu.json
20240320	21:02:05	f4e921b9-de12-494c-81f3-2ac39990536a	GET	undefined	/css/style.css
20240320	21:02:14	40e67810-ef0f-477f-8b72-9ae84b0845d1	GET	undefined	/dudu.json
20240320	21:02:14	c99d9e1e-338f-4076-8b0f-f2d59bee657e	GET	undefined	/css/style.css
20240325	19:34:33	7f9c10cb-985f-43a5-a274-cdecb110d3db	GET	undefined	/
20240325	19:34:34	d547029f-3b0b-40ed-be86-9b999ff7e33e	GET	undefined	/css/style.css
20240325	19:34:34	c89165f8-d652-4f52-ac2e-62e2c8857288	GET	undefined	/favicon.ico
20240325	19:34:45	e4187bad-6d87-4cd0-be6a-5361c0d8b129	GET	undefined	/
20240325	19:34:45	9c88c483-cbe6-409b-812e-c95d6cec3006	GET	undefined	/css/style.css
20240325	19:34:48	3275bb3d-3e8d-4ae8-bcc4-3a9c2c34891a	GET	undefined	/css/style.css
20240325	19:35:19	596e142c-38ee-4478-bea7-4bc9ebfaba70	GET	undefined	/subdir
20240325	19:35:23	6b565acd-d1a4-4b83-9632-38214ca56c9b	GET	undefined	/subdir/index
20240325	19:35:28	f5b440a0-a9b6-42fe-9180-8f0824a44e97	GET	undefined	/subdir
20240325	19:35:29	b8cf9179-7680-4c61-a495-a4b054f8cad2	GET	undefined	/subdir
20240325	19:35:30	73da6523-b445-4618-84dd-60b0680c3d36	GET	undefined	/subdir
20240325	19:35:30	f2be4e19-0a2c-41d1-a953-5b65bd699aad	GET	undefined	/subdir
20240325	19:35:30	4922dd64-4350-482c-b1f3-2989443b25aa	GET	undefined	/subdir
20240325	19:35:38	bbd33003-6036-4882-af94-a82d5feae6d3	GET	undefined	/subdir/test
20240325	19:35:51	0207ccdb-9812-4478-86bb-ac315608e0e7	GET	undefined	/subdir/tests
20240325	19:35:51	f226ab27-963d-4d82-a0bc-68550db1eecc	GET	undefined	/subdir/css/style.css
20240325	19:36:02	ff8f62cc-5a9f-48ca-80be-5761cc902ab0	GET	undefined	/
20240325	19:36:02	348e6096-c72e-42b3-9627-9d7cdb3fb904	GET	undefined	/css/style.css
20240325	19:37:01	ceb4e1b4-6471-4612-954a-f2ea03684a2c	GET	undefined	/subdir
20240325	19:37:01	59c71a57-a3ab-4b2d-a4ad-6de5b7a62763	GET	undefined	/subdir/
20240325	19:37:03	0306f8eb-ea71-4d00-92f7-d3ed0b26bad2	GET	undefined	/subdir/ada
20240325	19:37:04	ac0a8357-e886-4dd8-a7d2-035e1b4d4286	GET	undefined	/subdir/css/style.css
20240325	19:37:23	b439f562-2c2a-4d07-b199-77ac7fe5b2c3	GET	undefined	/subdir/
20240325	19:37:25	dbfc419a-1670-42fa-b27b-ac225da688fb	GET	undefined	/subdir/
20240325	19:37:26	244830bd-d480-402b-b0b1-f775a1176445	GET	undefined	/subdir/
20240325	19:43:38	efd391d5-906e-462f-92dc-21fc71d5a5f1	GET	undefined	/
20240325	19:43:38	796e802c-a7ac-4db5-be6b-48de53896382	GET	undefined	/css/style.css
20240325	19:43:46	a90e0c0a-44d5-4259-9c77-d02223bbe8b4	GET	undefined	/new-page
20240325	19:43:46	ae005942-fee2-4ba7-b038-5e7280408281	GET	undefined	/css/style.css
20240325	19:43:46	fc43a0a1-40cf-4884-b77a-30cf0b3b32d3	GET	undefined	/img/img1.jpg
20240325	19:44:02	94f75a7d-c696-4d78-a218-1406ed343959	GET	undefined	/old-page
20240325	19:44:02	b3ac291f-1f46-474f-84a5-031b4d86809b	GET	undefined	/new-page.html
20240325	19:44:02	da3a1d50-ef90-4ea1-a7ca-1b6f0f5c7239	GET	undefined	/css/style.css
20240325	19:44:02	29674942-4961-4919-9ad4-36e21fb42a48	GET	undefined	/img/img1.jpg
20240325	19:44:10	2a7d0b60-957a-4143-a222-f2b7285c0ce9	GET	undefined	/index.html
20240325	19:44:10	d2a37121-b525-4dbe-a4a2-0350ac50abbc	GET	undefined	/css/style.css
20240326	21:13:36	4d383903-adde-4faf-8801-4eb95804d2a2	GET	undefined	/
20240326	21:13:49	5ea4e994-165c-4876-9284-8ea32b087dc3	GET	undefined	/employees
20240326	21:13:59	60fe0543-aaa0-45ee-8ec3-5034932a1fbb	GET	undefined	/employees
20240326	21:13:59	5ba4103f-78e7-4fdc-b935-4e05f37d58a8	GET	undefined	/favicon.ico
20240326	21:14:05	7697b9a3-3f3b-4b7b-a3c6-3525326421ab	GET	undefined	/employees
20240326	21:14:08	901f8ddc-dedf-4252-8d3c-fe4b011d4562	GET	undefined	/employees
20240326	21:14:12	f153d73c-359d-4bfe-860d-04504782b5ed	GET	undefined	/employees
20240326	21:14:16	b3e4e119-54b7-4de1-9946-534092ed5b56	GET	undefined	/employees
20240326	21:14:17	75ed8d12-320d-48dc-a5e5-6503c1f73cef	GET	undefined	/employees
20240326	21:14:17	118df936-f4e0-49fa-abbf-61dfd94fc174	GET	undefined	/employees
20240326	21:14:29	40da7e09-0a02-4450-a3ee-36c1fd4acc6a	GET	undefined	/employees
20240326	21:16:03	d7808646-bfa4-4273-9c5f-c688d84b60dc	POST	undefined	/employees
20240326	21:16:34	a4886940-ec04-4ac9-9b6c-cf365df9ad17	GET	undefined	/employees
20240326	21:17:55	6bd3548a-ea91-45bc-a799-068fda11e43b	DELETE	undefined	/employees
20240326	21:18:12	7ae13d80-1bf2-4ab9-b4c5-bce53f8e8218	GET	undefined	/employees/1
20240326	21:20:07	2a876591-9aee-4e35-8c52-de7bedfc81c2	GET	undefined	/employees/1
20240326	21:20:11	4b60dd6a-ba44-4f7f-9d9f-90f46efc6bab	GET	undefined	/employees/1
20240326	21:20:26	679274e4-ea7f-4161-93ce-d8c530767920	GET	undefined	/employees/1
20240326	21:20:30	07674cc0-765a-493d-b181-14b183a04d41	GET	undefined	/employees/1
20240328	20:27:58	16843dbc-52e5-4370-9a98-fef2def0e2cf	GET	undefined	/employees
20240328	20:28:02	84d8f498-f306-41ee-b2bb-ce299f589389	GET	undefined	/employees/1
20240328	20:28:42	ddbbe003-9843-4316-9a60-bf67c3f7a3c9	POST	undefined	/employees
20240328	20:29:51	96c91e55-1330-44be-a386-d5b4cab3ea03	PUT	undefined	/employees
20240328	20:30:27	2d4f2803-afdc-4eb9-81e3-ca74fb0e71bf	DELETE	undefined	/employees
20240328	20:30:33	0a876cdc-8c86-4735-aadb-a1c0253971b3	GET	undefined	/employees/1
20240328	20:30:38	32c7cc1f-4384-47aa-bc78-1082d5aa50b8	GET	undefined	/employees
20240328	20:30:51	5d176dee-adc6-4288-a871-3fcf52794dbc	GET	undefined	/employees/1
20240328	20:31:41	c12b6a1c-9535-4318-8fcb-173dded3bae2	GET	undefined	/employees/1
20240329	15:57:22	c172f83c-3493-40fc-971e-d5274297237c	POST	undefined	/register
20240329	15:58:29	76c0000e-4c46-4c38-b6f8-8642efc6f663	POST	undefined	/register
20240329	16:09:17	0281c552-ef39-410c-81dd-936274726170	POST	undefined	/auth
20240329	16:09:23	3cc3d0fd-03b1-40d1-bf76-315558bc7792	POST	undefined	/auth
20240329	16:09:27	e3da5cea-4eb2-4498-8e87-adceb64f534d	POST	undefined	/auth
20240329	16:09:30	6ecf66ce-3f53-455a-9d8f-76d850c476ab	POST	undefined	/auth
20240329	16:09:58	ad99827f-44e5-4216-86ec-5b73ac5cf49d	POST	undefined	/register
20240330	18:10:57	d69c74a2-ede1-4bfe-a310-34920cbaebf0	GET	undefined	/auth
20240330	18:11:45	006c3b92-1f3f-4380-9636-53de2b7288a9	POST	undefined	/auth
20240330	18:12:55	5b358633-c9b6-4f05-9400-c665b62b763a	POST	undefined	/register
20240330	18:13:05	9ff04b84-4ef0-4897-a24d-405548c8d50c	POST	undefined	/auth
20240330	18:15:50	6d8b1c20-482b-47ed-8b29-751f9b2bb2e5	POST	undefined	/auth
20240330	18:17:11	5c99a532-2071-4872-8f5b-da72cdd5db19	POST	undefined	/auth
